,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1
328,Quanzhi Gaoshou Zhi Dianfeng Rongyao,329,2957,8.18,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/40080/Quanzhi_Gaoshou_Zhi_Dianfeng_Rongyao,,,全职高手之巅峰荣耀  ,"Quan Zhi Gao Shou Movie, Full-Time Expert Movie, Master of Skills Movie, The King's Avatar Movie  ",  Status:  Finished Airing  ,"  Aired:  Aug 16, 2019  ",,"    Producers:    None found, add some  ","    Licensors:    None found, add some  ",    Studios:          Colored Pencil Animation  ,  Source:  Novel  ,"  Genres:      ActionAction,     GameGame",  Duration:  1 hr. 37 min.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  90,"32,762","1,369","21,169",310,234,"9,680",2380,3700,5132,2562,746,272,99,37,16,35
329,Toki wo Kakeru Shoujo,330,176,8.18,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo,,The Girl Who Leapt Through Time  ,時をかける少女  ,"Toki wo Kakeru Shojo, TokiKake, Toki o Kakeru Shojo, The Girl Who Cut Time, The Little Girl Who Conquered Time  ",  Status:  Finished Airing  ,"  Aired:  Jul 15, 2006  ",,"    Producers:          Kadokawa Shoten,       Bandai,       Memory-Tech,       Happinet Pictures  ","    Licensors:          Funimation,       Bandai Entertainment,       Kadokawa Pictures USA  ",    Studios:          Madhouse  ,  Source:  Novel  ,"  Genres:      AdventureAdventure,     DramaDrama,     RomanceRomance,     Sci-FiSci-Fi",  Duration:  1 hr. 38 min.  ,  Rating:  G - All Ages  ,"  Favorites:  5,047","649,535","9,876","488,733","3,616","1,626","145,684",57799,101288,123029,68796,20966,7030,2240,761,286,398
330,Bungou Stray Dogs 3rd Season,318,419,8.19,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/38003/Bungou_Stray_Dogs_3rd_Season,    Premiered:          Spring 2019          ,,文豪ストレイドッグス 第3期  ,Bungo Stray Dogs 3  ,  Status:  Finished Airing  ,"  Aired:  Apr 12, 2019 to Jun 28, 2019  ",    Broadcast:    Fridays at 22:30 (JST)      ,"    Producers:          WOWOW,       Lantis,       Movic,       Bandai Namco Live Creative,       Sony Music Entertainment,       Glovision,       Kadokawa Media House,       Kadokawa,       Bandai Namco Arts  ","    Licensors:    None found, add some  ",    Studios:          Bones  ,  Source:  Manga  ,"  Genres:      ActionAction,     MysteryMystery,     SeinenSeinen,     Super PowerSuper Power,     SupernaturalSupernatural",  Duration:  23 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  2,933","356,491","22,987","230,714","7,670","3,512","91,608",27945,42758,63124,31714,8424,2707,801,309,141,310
331,Douluo Dalu: Jingying Sai,332,4928,8.18,  Episodes:  52  ,  Type:  ONA,https://myanimelist.net/anime/37822/Douluo_Dalu__Jingying_Sai,,,斗罗大陆 精英赛  ,"Douluo Dalu 2nd Season, Douluo Dalu 1st Season Part 2, Soul Land 2nd Season  ",  Status:  Finished Airing  ,"  Aired:  Dec 1, 2018 to Nov 16, 2019  ",,"    Producers:    None found, add some  ","    Licensors:    None found, add some  ",    Studios:          Sparkly Key Animation Studio  ,  Source:  Novel  ,"  Genres:      ActionAction,     AdventureAdventure,     HistoricalHistorical,     SupernaturalSupernatural,     Martial ArtsMartial Arts,     FantasyFantasy",  Duration:  20 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  148,"10,765","3,241","3,823",304,380,"3,017",1024,885,1158,626,244,110,54,28,19,75
332,Akira,334,200,8.17,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/47/Akira,,AKIRA  ,AKIRA（アキラ）  ,,  Status:  Finished Airing  ,"  Aired:  Jul 16, 1988  ",,"    Producers:          Mainichi Broadcasting System,       Kodansha,       Toho  ","    Licensors:          Funimation,       Bandai Entertainment,       Geneon Entertainment USA  ",    Studios:          Tokyo Movie Shinsha  ,  Source:  Manga  ,"  Genres:      ActionAction,     MilitaryMilitary,     Sci-FiSci-Fi,     AdventureAdventure,     HorrorHorror,     SupernaturalSupernatural,     SeinenSeinen",  Duration:  2 hr. 4 min.  ,  Rating:  R+ - Mild Nudity  ,"  Favorites:  9,133","609,215","9,087","463,906","3,803","2,352","130,067",81936,88423,98238,59027,24041,10099,4614,1863,1067,1129
333,Detective Conan Movie 20: The Darkest Nightmare,335,3090,8.17,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/32005/Detective_Conan_Movie_20__The_Darkest_Nightmare,,,劇場版　名探偵コナン　純黒の悪夢（ナイトメア）  ,"Meitantei Conan Movie 20, Detective Conan: Pitch Black Nightmare, Meitantei Conan: Junkoku no Nightmare  ",  Status:  Finished Airing  ,"  Aired:  Apr 16, 2016  ",,"    Producers:    None found, add some  ","    Licensors:    None found, add some  ",    Studios:          TMS Entertainment  ,  Source:  Manga  ,"  Genres:      ActionAction,     MysteryMystery,     PolicePolice,     ShounenShounen",  Duration:  1 hr. 52 min.  ,  Rating:  G - All Ages  ,  Favorites:  79,"30,201",707,"24,217",223,259,"4,795",3374,3871,4997,2862,914,416,153,59,19,242
334,Gankutsuou,336,793,8.17,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/239/Gankutsuou,    Premiered:          Fall 2004          ,Gankutsuou: The Count of Monte Cristo  ,巌窟王  ,The King of the Cavern  ,  Status:  Finished Airing  ,"  Aired:  Oct 6, 2004 to Mar 30, 2005  ",    Broadcast:    Tuesdays at 02:12 (JST)      ,"    Producers:          GDH,       TV Asahi,       Media Factory,       Sotsu Music Publishing  ","    Licensors:          Funimation,       Geneon Entertainment USA  ",    Studios:          Gonzo  ,  Source:  Novel  ,"  Genres:      DramaDrama,     MysteryMystery,     Sci-FiSci-Fi,     SupernaturalSupernatural,     ThrillerThriller",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  3,305","202,582","10,096","71,002","9,145","6,466","105,873",11212,15815,17982,10531,4234,1877,914,317,263,453
335,Katekyo Hitman Reborn!,337,305,8.17,  Episodes:  203  ,  Type:  TV,https://myanimelist.net/anime/1604/Katekyo_Hitman_Reborn,    Premiered:          Fall 2006          ,Reborn!  ,家庭教師ヒットマンREBORN!  ,"Kateikyoushi Hitman Reborn!, Home Tutor Hitman Reborn!  ",  Status:  Finished Airing  ,"  Aired:  Oct 7, 2006 to Sep 25, 2010  ",    Broadcast:    Saturdays at 10:30 (JST)      ,"    Producers:          TV Tokyo,       Dentsu,       Marvelous,       Pony Canyon,       d-rights  ","    Licensors:          VIZ Media,       Discotek Media  ",    Studios:          Artland  ,  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     ShounenShounen,     Super PowerSuper Power",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  14,553","477,751","47,352","240,103","36,939","36,374","116,983",45008,50381,59737,41361,16958,8626,4140,1809,1044,863
336,Lupin III: Part 5,338,3049,8.17,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/35857/Lupin_III__Part_5,    Premiered:          Spring 2018          ,,ルパン三世 PART5  ,"Lupin III: Part V, Lupin Sansei Part V, Lupin Sansei: Adventure in France  ",  Status:  Finished Airing  ,"  Aired:  Apr 4, 2018 to Sep 19, 2018  ",    Broadcast:    Wednesdays at 01:29 (JST)      ,"    Producers:          Nippon Television Network,       TMS Music  ","    Licensors:    None found, add some  ",    Studios:          Telecom Animation Film  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     ComedyComedy,     MysteryMystery,     SeinenSeinen",  Duration:  22 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  277,"31,155","3,887","12,990","1,605","1,026","11,647",1522,3004,4018,1882,554,212,56,78,14,211
337,Mo Dao Zu Shi Q,339,4710,8.17,  Episodes:  30  ,  Type:  ONA,https://myanimelist.net/anime/40435/Mo_Dao_Zu_Shi_Q,,The Founder of Diabolism Q  ,魔道祖师Q  ,,  Status:  Finished Airing  ,"  Aired:  Jul 31, 2020 to Jan 29, 2021  ",,    Producers:          Tencent Penguin Pictures  ,"    Licensors:    None found, add some  ",    Studios:          B.CMAY PICTURES  ,  Source:  Novel  ,"  Genres:      ComedyComedy,     HistoricalHistorical,     SupernaturalSupernatural,     MagicMagic",  Duration:  5 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  120,"12,030","2,656","3,125",381,263,"5,605",960,587,828,575,200,100,27,15,13,43
338,Nisemonogatari,340,203,8.17,  Episodes:  11  ,  Type:  TV,https://myanimelist.net/anime/11597/Nisemonogatari,    Premiered:          Winter 2012          ,Nisemonogatari  ,偽物語  ,Impostory  ,  Status:  Finished Airing  ,"  Aired:  Jan 8, 2012 to Mar 18, 2012  ",    Broadcast:    Sundays at 00:00 (JST)      ,"    Producers:          Aniplex,       Kodansha,       Rakuonsha  ",    Licensors:          Aniplex of America  ,    Studios:          Shaft  ,  Source:  Light novel  ,"  Genres:      MysteryMystery,     ComedyComedy,     SupernaturalSupernatural,     EcchiEcchi",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  3,540","604,054","22,647","448,983","10,572","6,137","115,715",53044,94296,121744,59510,17833,6416,2880,1208,680,931
339,No Game No Life,341,12,8.17,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/19815/No_Game_No_Life,    Premiered:          Spring 2014          ,"No Game, No Life  ",ノーゲーム・ノーライフ  ,NGNL  ,  Status:  Finished Airing  ,"  Aired:  Apr 9, 2014 to Jun 25, 2014  ",    Broadcast:    Wednesdays at 21:30 (JST)      ,"    Producers:          Frontier Works,       Media Factory,       Movic,       AT-X  ",    Licensors:          Sentai Filmworks  ,    Studios:          Madhouse  ,  Source:  Light novel  ,"  Genres:      GameGame,     AdventureAdventure,     ComedyComedy,     SupernaturalSupernatural,     EcchiEcchi,     FantasyFantasy",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  42,673","1,873,274","70,765","1,523,301","29,599","41,537","208,072",237111,300289,332508,204823,77499,33688,16029,6977,3705,3923
340,One Piece Film: Z,342,833,8.17,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/12859/One_Piece_Film__Z,,One Piece Film Z  ,ワンピース　フィルム　﻿Ｚ  ,One Piece Movie 12  ,  Status:  Finished Airing  ,"  Aired:  Dec 15, 2012  ",,    Producers:          Shueisha  ,    Licensors:          Funimation  ,    Studios:          Toei Animation  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     ComedyComedy,     DramaDrama,     FantasyFantasy,     ShounenShounen",  Duration:  1 hr. 47 min.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  437,"193,534","2,868","172,804",634,488,"16,740",21195,30516,38613,22825,7085,2296,636,172,131,208
341,Sakura-sou no Pet na Kanojo,346,90,8.16,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo,    Premiered:          Fall 2012          ,The Pet Girl of Sakurasou  ,さくら荘のペットな彼女  ,Sakurasou no Pet na Kanojo  ,  Status:  Finished Airing  ,"  Aired:  Oct 9, 2012 to Mar 26, 2013  ",    Broadcast:    Tuesdays at 00:30 (JST)      ,"    Producers:          Frontier Works,       Genco,       Media Factory,       Animax,       Mainichi Broadcasting System,       ASCII Media Works,       Sony Music Communications  ",    Licensors:          Sentai Filmworks  ,    Studios:          J.C.Staff  ,  Source:  Light novel  ,"  Genres:      Slice of LifeSlice of Life,     ComedyComedy,     DramaDrama,     RomanceRomance,     SchoolSchool",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  23,616","985,603","50,719","688,096","28,658","26,402","191,728",98469,141823,165516,98753,35940,15290,5904,2298,1102,1171
342,Shokugeki no Souma: Ni no Sara,343,108,8.17,  Episodes:  13  ,  Type:  TV,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara,    Premiered:          Summer 2016          ,Food Wars! The Second Plate  ,食戟のソーマ 弍ノ皿  ,"Shokugeki no Souma 2nd Season, Shokugeki no Soma 2, Food Wars: Shokugeki no Soma 2, Shokugeki no Soma: The Second Plate  ",  Status:  Finished Airing  ,"  Aired:  Jul 2, 2016 to Sep 24, 2016  ",    Broadcast:    Saturdays at 22:00 (JST)      ,"    Producers:          Dentsu,       Lantis,       Mainichi Broadcasting System,       KlockWorx,       Showgate,       Shueisha  ",    Licensors:          Sentai Filmworks  ,    Studios:          J.C.Staff  ,  Source:  Manga  ,"  Genres:      EcchiEcchi,     SchoolSchool,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  2,809","872,010","38,937","733,209","10,401","8,358","81,105",75995,141066,193840,104186,28344,8479,2445,819,433,762
343,Nodame Cantabile: Paris-hen,344,1376,8.16,  Episodes:  11  ,  Type:  TV,https://myanimelist.net/anime/4477/Nodame_Cantabile__Paris-hen,    Premiered:          Fall 2008          ,,のだめカンタービレ 巴里編  ,"Nodame Cantabile Paris Chapter, Nodame Cantabile Pari-hen  ",  Status:  Finished Airing  ,"  Aired:  Oct 10, 2008 to Dec 19, 2008  ",    Broadcast:    Fridays at 00:45 (JST)      ,"    Producers:          Fuji TV,       Asmik Ace,       Sony Music Entertainment  ","    Licensors:    None found, add some  ",    Studios:          J.C.Staff  ,  Source:  Manga  ,"  Genres:      ComedyComedy,     JoseiJosei,     MusicMusic,     RomanceRomance,     Slice of LifeSlice of Life",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  310,"110,054","2,631","86,674","2,063","1,177","17,509",9013,17546,24027,12198,3398,1034,313,141,46,248
344,One Piece Film: Strong World,345,889,8.16,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/4155/One_Piece_Film__Strong_World,,One Piece Film Strong World  ,ワンピース　フィルム　ストロングワールド  ,One Piece Movie 10  ,  Status:  Finished Airing  ,"  Aired:  Dec 12, 2009  ",,"    Producers:    None found, add some  ",    Licensors:          Funimation  ,    Studios:          Toei Animation  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     ComedyComedy,     DramaDrama,     FantasyFantasy,     ShounenShounen",  Duration:  1 hr. 55 min.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  346,"182,414","2,562","161,544",722,566,"17,020",20321,27210,35152,21875,6778,2308,729,200,99,242
345,Seirei no Moribito,347,882,8.16,  Episodes:  26  ,  Type:  TV,https://myanimelist.net/anime/1827/Seirei_no_Moribito,    Premiered:          Spring 2007          ,Moribito - Guardian of the Spirit  ,精霊の守り人  ,Guardian of the Sacred Spirit  ,  Status:  Finished Airing  ,"  Aired:  Apr 7, 2007 to Sep 29, 2007  ",    Broadcast:    Saturdays at 08:06 (JST)      ,"    Producers:          Geneon Universal Entertainment,       Dentsu,       NHK Enterprises  ","    Licensors:          VIZ Media,       Media Blasters,       Sentai Filmworks,       Geneon Entertainment USA  ",    Studios:          Production I.G  ,  Source:  Novel  ,"  Genres:      ActionAction,     AdventureAdventure,     HistoricalHistorical,     FantasyFantasy",  Duration:  25 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  2,409","183,477","10,448","78,237","8,199","5,047","81,546",9773,17911,21345,12199,4232,1740,542,201,98,139
346,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,348,1172,8.16,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/4107/Tengen_Toppa_Gurren_Lagann_Movie_1__Gurren-hen,,Gurren Lagann The Movie: Childhood's End  ,天元突破グレンラガン 紅蓮篇  ,"Gekijouban Tengen Toppa Gurren Lagann: Guren-hen, Tengen Toppa Gurren Lagann the Movie  ",  Status:  Finished Airing  ,"  Aired:  Sep 6, 2008  ",,    Producers:          Aniplex  ,    Licensors:          Aniplex of America  ,    Studios:          Gainax  ,  Source:  Original  ,"  Genres:      ActionAction,     ComedyComedy,     MechaMecha",  Duration:  1 hr. 52 min.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  332,"135,458","2,287","96,735","1,199",759,"34,478",12848,16241,21150,11786,3927,1580,517,198,150,353
347,5-toubun no Hanayome ∬,349,402,8.16,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/39783/5-toubun_no_Hanayome_∬,    Premiered:          Winter 2021          ,The Quintessential Quintuplets 2  ,五等分の花嫁∬  ,"Gotoubun no Hanayome 2nd Season, The Five Wedded Brides 2nd Season, 5-toubun no Hanayome 2nd Season, The Quintessential Quintuplets 2nd Season  ",  Status:  Finished Airing  ,"  Aired:  Jan 8, 2021 to Mar 26, 2021  ",    Broadcast:    Fridays at 01:28 (JST)      ,"    Producers:          Pony Canyon,       Kodansha,       DAX Production,       BS11,       Nichion,       GYAO!,       Good Smile Film,       MAGNET  ","    Licensors:    None found, add some  ",    Studios:          Bibury Animation Studios  ,  Source:  Manga  ,"  Genres:      HaremHarem,     ComedyComedy,     RomanceRomance,     SchoolSchool,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  6,572","367,985","62,267","192,156","5,088","3,450","105,024",27018,42760,65711,33385,8499,2717,899,341,172,330
348,Detective Conan,350,587,8.16,  Episodes:  Unknown  ,  Type:  TV,https://myanimelist.net/anime/235/Detective_Conan,    Premiered:          Winter 1996          ,Case Closed  ,名探偵コナン  ,Meitantei Conan  ,  Status:  Currently Airing  ,"  Aired:  Jan 8, 1996 to ?  ",    Broadcast:    Saturdays at 18:00 (JST)      ,"    Producers:          Yomiuri Telecasting,       Animax,       YTV,       TMS-Kyokuchi,       Shogakukan  ","    Licensors:          Funimation,       Crunchyroll  ",    Studios:          TMS Entertainment  ,  Source:  Manga  ,"  Genres:      AdventureAdventure,     MysteryMystery,     ComedyComedy,     PolicePolice,     ShounenShounen",  Duration:  25 min.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  10,529","267,588","122,532",13,"58,014","38,007","49,022",29102,26880,33360,22561,8263,3579,1075,446,275,510
349,Durarara!!,351,60,8.16,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/6746/Durarara,    Premiered:          Winter 2010          ,Durarara!!  ,デュラララ!!  ,"Dhurarara!!, Dyurarara!!, Dulalala!!, Dullalala!!, DRRR!!  ",  Status:  Finished Airing  ,"  Aired:  Jan 8, 2010 to Jun 25, 2010  ",    Broadcast:    Fridays at 01:25 (JST)      ,"    Producers:          Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       ASCII Media Works,       Sakura Create  ",    Licensors:          Aniplex of America  ,    Studios:          Brain's Base  ,  Source:  Light novel  ,"  Genres:      ActionAction,     MysteryMystery,     SupernaturalSupernatural",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  27,593","1,163,669","82,118","675,089","65,539","46,817","294,106",87357,145739,175694,102541,36872,16145,5634,1839,942,1039
350,Eizouken ni wa Te wo Dasu na!,352,661,8.16,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na,    Premiered:          Winter 2020          ,Keep Your Hands Off Eizouken!  ,映像研には手を出すな!  ,Hands off the Motion Pictures Club!  ,  Status:  Finished Airing  ,"  Aired:  Jan 6, 2020 to Mar 23, 2020  ",    Broadcast:    Mondays at 00:10 (JST)      ,"    Producers:          Warner Bros. Japan,       Warner Music Japan,       Shogakukan,       NHK Enterprises  ","    Licensors:    None found, add some  ",    Studios:          Science SARU  ,  Source:  Manga  ,"  Genres:      AdventureAdventure,     ComedyComedy,     SchoolSchool,     SeinenSeinen",  Duration:  25 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  2,600","239,216","33,300","99,705","13,879","11,693","80,639",13223,26109,33075,16673,5611,2280,839,293,155,249
351,Kaiba,353,1303,8.16,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/3701/Kaiba,    Premiered:          Spring 2008          ,Kaiba  ,カイバ  ,,  Status:  Finished Airing  ,"  Aired:  Apr 11, 2008 to Jul 25, 2008  ",    Broadcast:    Unknown      ,"    Producers:          VAP,       WOWOW  ",    Licensors:          Discotek Media  ,    Studios:          Madhouse  ,  Source:  Original  ,"  Genres:      AdventureAdventure,     MysteryMystery,     RomanceRomance,     Sci-FiSci-Fi",  Duration:  24 min. per ep.  ,  Rating:  R+ - Mild Nudity  ,"  Favorites:  2,856","118,718","5,807","40,745","4,257","2,897","65,012",6302,9649,10029,5627,2299,961,479,206,183,356
352,Kamisama Hajimemashita◎,354,573,8.16,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/25681/Kamisama_Hajimemashita◎,    Premiered:          Winter 2015          ,Kamisama Kiss Season 2  ,神様はじめました◎  ,"Kamisama Hajimemashita 2nd Season, Kami-sama Hajimemashita 2nd Season, Kamisama Kiss 2nd Season  ",  Status:  Finished Airing  ,"  Aired:  Jan 6, 2015 to Mar 31, 2015  ",    Broadcast:    Tuesdays at 02:05 (JST)      ,"    Producers:          Dentsu,       Sotsu  ",    Licensors:          Funimation  ,    Studios:          TMS Entertainment  ,  Source:  Manga  ,"  Genres:      ComedyComedy,     DemonsDemons,     SupernaturalSupernatural,     RomanceRomance,     FantasyFantasy,     ShoujoShoujo",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  1,645","272,349","11,366","209,192","5,447","3,703","42,641",28188,33105,45825,28780,9047,3188,837,282,125,152
353,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,355,3730,8.16,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/10153/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_2nd_As,,Magical Girl Lyrical Nanoha: The Movie 2nd A's  ,魔法少女リリカルなのは The MOVIE 2nd A's  ,,  Status:  Finished Airing  ,"  Aired:  Jul 14, 2012  ",,    Producers:          Good Smile Company  ,"    Licensors:    None found, add some  ",    Studios:          Seven Arcs  ,  Source:  Original  ,"  Genres:      ActionAction,     MagicMagic,     ComedyComedy,     Sci-FiSci-Fi,     DramaDrama",  Duration:  2 hr. 29 min.  ,  Rating:  R+ - Mild Nudity  ,  Favorites:  199,"20,959",496,"13,070",269,232,"6,892",1698,2378,2761,1585,544,232,79,29,16,40
354,Cardcaptor Sakura,356,425,8.15,  Episodes:  70  ,  Type:  TV,https://myanimelist.net/anime/232/Cardcaptor_Sakura,    Premiered:          Spring 1998          ,Cardcaptor Sakura  ,カードキャプターさくら  ,"CCS, Cardcaptors, Card Captor Sakura  ",  Status:  Finished Airing  ,"  Aired:  Apr 7, 1998 to Mar 21, 2000  ",    Broadcast:    Tuesdays at 18:00 (JST)      ,"    Producers:          NHK,       Kodansha,       Sogo Vision,       YTV  ","    Licensors:          Nelvana,       NIS America, Inc.,       Geneon Entertainment USA  ",    Studios:          Madhouse  ,  Source:  Manga  ,"  Genres:      AdventureAdventure,     ComedyComedy,     DramaDrama,     MagicMagic,     RomanceRomance,     FantasyFantasy,     SchoolSchool,     ShoujoShoujo",  Duration:  25 min. per ep.  ,  Rating:  PG - Children  ,"  Favorites:  10,419","352,711","24,236","222,266","21,820","14,879","69,510",35776,39431,50067,36706,13610,5357,1299,518,268,453
355,Dragon Ball Z,357,95,8.15,  Episodes:  291  ,  Type:  TV,https://myanimelist.net/anime/813/Dragon_Ball_Z,    Premiered:          Spring 1989          ,Dragon Ball Z  ,ドラゴンボールZ  ,"DBZ, Dragonball Z  ",  Status:  Finished Airing  ,"  Aired:  Apr 26, 1989 to Jan 31, 1996  ",    Broadcast:    Wednesdays at 19:00 (JST)      ,    Producers:          Fuji TV  ,    Licensors:          Funimation  ,    Studios:          Toei Animation  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     ComedyComedy,     Super PowerSuper Power,     Martial ArtsMartial Arts,     FantasyFantasy,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  27,780","952,764","35,693","825,779","20,656","25,372","45,264",153232,136718,171420,125727,47207,19605,6094,2328,1231,1827
356,Fullmetal Alchemist,358,56,8.15,  Episodes:  51  ,  Type:  TV,https://myanimelist.net/anime/121/Fullmetal_Alchemist,    Premiered:          Fall 2003          ,Fullmetal Alchemist  ,鋼の錬金術師  ,"Hagane no Renkinjutsushi, FMA, Full Metal Alchemist  ",  Status:  Finished Airing  ,"  Aired:  Oct 4, 2003 to Oct 2, 2004  ",    Broadcast:    Saturdays at 18:00 (JST)      ,"    Producers:          Aniplex,       Dentsu,       Square Enix,       Mainichi Broadcasting System  ","    Licensors:          Funimation,       Aniplex of America  ",    Studios:          Bones  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     ComedyComedy,     DramaDrama,     FantasyFantasy,     MagicMagic,     MilitaryMilitary,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  22,928","1,217,334","56,297","924,910","44,064","41,401","150,662",128612,184080,223117,143017,47725,17444,6326,1909,1043,1293
357,Ginga Eiyuu Densetsu Gaiden,359,3868,8.15,  Episodes:  24  ,  Type:  OVA,https://myanimelist.net/anime/3371/Ginga_Eiyuu_Densetsu_Gaiden,,,銀河英雄伝説外伝／千億の星、千億の光  ,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari, Legend of the Galactic Heroes Gaiden: A Hundred Billion Stars, A Hundred Billion Lights, LoGH Gaiden  ",  Status:  Finished Airing  ,"  Aired:  Feb 9, 1998 to Sep 26, 1998  ",,"    Producers:          Kitty Films,       Tokuma Shoten  ",    Licensors:          Sentai Filmworks  ,"    Studios:          Artland,       Magic Bus  ",  Source:  Novel  ,"  Genres:      ActionAction,     MilitaryMilitary,     Sci-FiSci-Fi,     SpaceSpace,     DramaDrama",  Duration:  26 min. per ep.  ,  Rating:  R+ - Mild Nudity  ,  Favorites:  61,"19,201",817,"8,675",608,285,"8,816",1029,1949,2253,1103,322,145,43,13,57,183
358,Given Movie,360,1371,8.15,  Episodes:  1  ,  Type:  Movie,https://myanimelist.net/anime/40421/Given_Movie,,,映画 ギヴン  ,Eiga Given  ,  Status:  Finished Airing  ,"  Aired:  Aug 22, 2020  ",,"    Producers:    None found, add some  ","    Licensors:    None found, add some  ",    Studios:          Lerche  ,  Source:  Manga  ,"  Genres:      DramaDrama,     MusicMusic,     RomanceRomance,     Shounen AiShounen Ai,     Slice of LifeSlice of Life",  Duration:  59 min.  ,  Rating:  PG-13 - Teens 13 or older  ,  Favorites:  930,"111,045","2,177","63,405",625,229,"44,609",9887,10907,14360,9009,3056,975,389,127,64,98
